country_name,iso3_code,World_Bank_region,income_group
Aruba,ABW,Latin America & Caribbean,High income
Afghanistan,AFG,South Asia,Low income
Angola,AGO,Sub-Saharan Africa,Lower middle income
Albania,ALB,Europe & Central Asia,Upper middle income
Andorra,AND,Europe & Central Asia,High income
United Arab Emirates,ARE,Middle East & North Africa,High income
Argentina,ARG,Latin America & Caribbean,Upper middle income
Armenia,ARM,Europe & Central Asia,Upper middle income
American Samoa,ASM,East Asia & Pacific,Upper middle income
Antigua and Barbuda,ATG,Latin America & Caribbean,High income
Australia,AUS,East Asia & Pacific,High income
Austria,AUT,Europe & Central Asia,High income
Azerbaijan,AZE,Europe & Central Asia,Upper middle income
Burundi,BDI,Sub-Saharan Africa,Low income
Belgium,BEL,Europe & Central Asia,High income
Benin,BEN,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,Sub-Saharan Africa,Low income
Bangladesh,BGD,South Asia,Lower middle income
Bulgaria,BGR,Europe & Central Asia,Upper middle income
Bahrain,BHR,Middle East & North Africa,High income
"Bahamas, The",BHS,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income
Belarus,BLR,Europe & Central Asia,Upper middle income
Belize,BLZ,Latin America & Caribbean,Lower middle income
Bermuda,BMU,North America,High income
Bolivia,BOL,Latin America & Caribbean,Lower middle income
Brazil,BRA,Latin America & Caribbean,Upper middle income
Barbados,BRB,Latin America & Caribbean,High income
Brunei Darussalam,BRN,East Asia & Pacific,High income
Bhutan,BTN,South Asia,Lower middle income
Botswana,BWA,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,Sub-Saharan Africa,Low income
Canada,CAN,North America,High income
Switzerland,CHE,Europe & Central Asia,High income
Channel Islands,CHI,Europe & Central Asia,High income
Chile,CHL,Latin America & Caribbean,High income
China,CHN,East Asia & Pacific,Upper middle income
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income
Colombia,COL,Latin America & Caribbean,Upper middle income
Comoros,COM,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,Latin America & Caribbean,Upper middle income
Cuba,CUB,Latin America & Caribbean,Upper middle income
Curaçao,CUW,Latin America & Caribbean,High income
Cayman Islands,CYM,Latin America & Caribbean,High income
Cyprus,CYP,Europe & Central Asia,High income
Czech Republic,CZE,Europe & Central Asia,High income
Germany,DEU,Europe & Central Asia,High income
Djibouti,DJI,Middle East & North Africa,Lower middle income
Dominica,DMA,Latin America & Caribbean,Upper middle income
Denmark,DNK,Europe & Central Asia,High income
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income
Algeria,DZA,Middle East & North Africa,Lower middle income
Ecuador,ECU,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income
Eritrea,ERI,Sub-Saharan Africa,Low income
Spain,ESP,Europe & Central Asia,High income
Estonia,EST,Europe & Central Asia,High income
Ethiopia,ETH,Sub-Saharan Africa,Low income
Finland,FIN,Europe & Central Asia,High income
Fiji,FJI,East Asia & Pacific,Upper middle income
France,FRA,Europe & Central Asia,High income
Faroe Islands,FRO,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income
Gabon,GAB,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,Europe & Central Asia,High income
Georgia,GEO,Europe & Central Asia,Upper middle income
Ghana,GHA,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,Europe & Central Asia,High income
Guinea,GIN,Sub-Saharan Africa,Low income
"Gambia, The",GMB,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income
Greece,GRC,Europe & Central Asia,High income
Grenada,GRD,Latin America & Caribbean,Upper middle income
Greenland,GRL,Europe & Central Asia,High income
Guatemala,GTM,Latin America & Caribbean,Upper middle income
Guam,GUM,East Asia & Pacific,High income
Guyana,GUY,Latin America & Caribbean,Upper middle income
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income
Honduras,HND,Latin America & Caribbean,Lower middle income
Croatia,HRV,Europe & Central Asia,High income
Haiti,HTI,Latin America & Caribbean,Lower middle income
Hungary,HUN,Europe & Central Asia,High income
Indonesia,IDN,East Asia & Pacific,Lower middle income
Isle of Man,IMN,Europe & Central Asia,High income
India,IND,South Asia,Lower middle income
Ireland,IRL,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income
Iraq,IRQ,Middle East & North Africa,Upper middle income
Iceland,ISL,Europe & Central Asia,High income
Israel,ISR,Middle East & North Africa,High income
Italy,ITA,Europe & Central Asia,High income
Jamaica,JAM,Latin America & Caribbean,Upper middle income
Jordan,JOR,Middle East & North Africa,Upper middle income
Japan,JPN,East Asia & Pacific,High income
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income
Kenya,KEN,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income
Cambodia,KHM,East Asia & Pacific,Lower middle income
Kiribati,KIR,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income
"Korea, Rep.",KOR,East Asia & Pacific,High income
Kuwait,KWT,Middle East & North Africa,High income
Lao PDR,LAO,East Asia & Pacific,Lower middle income
Lebanon,LBN,Middle East & North Africa,Upper middle income
Liberia,LBR,Sub-Saharan Africa,Low income
Libya,LBY,Middle East & North Africa,Upper middle income
St. Lucia,LCA,Latin America & Caribbean,Upper middle income
Liechtenstein,LIE,Europe & Central Asia,High income
Sri Lanka,LKA,South Asia,Lower middle income
Lesotho,LSO,Sub-Saharan Africa,Lower middle income
Lithuania,LTU,Europe & Central Asia,High income
Luxembourg,LUX,Europe & Central Asia,High income
Latvia,LVA,Europe & Central Asia,High income
"Macao SAR, China",MAC,East Asia & Pacific,High income
St. Martin (French part),MAF,Latin America & Caribbean,High income
Morocco,MAR,Middle East & North Africa,Lower middle income
Monaco,MCO,Europe & Central Asia,High income
Moldova,MDA,Europe & Central Asia,Upper middle income
Madagascar,MDG,Sub-Saharan Africa,Low income
Maldives,MDV,South Asia,Upper middle income
Mexico,MEX,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,East Asia & Pacific,Upper middle income
North Macedonia,MKD,Europe & Central Asia,Upper middle income
Mali,MLI,Sub-Saharan Africa,Low income
Malta,MLT,Middle East & North Africa,High income
Myanmar,MMR,East Asia & Pacific,Lower middle income
Montenegro,MNE,Europe & Central Asia,Upper middle income
Mongolia,MNG,East Asia & Pacific,Lower middle income
Northern Mariana Islands,MNP,East Asia & Pacific,High income
Mozambique,MOZ,Sub-Saharan Africa,Low income
Mauritania,MRT,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,Sub-Saharan Africa,Upper middle income
Malawi,MWI,Sub-Saharan Africa,Low income
Malaysia,MYS,East Asia & Pacific,Upper middle income
Namibia,NAM,Sub-Saharan Africa,Upper middle income
New Caledonia,NCL,East Asia & Pacific,High income
Niger,NER,Sub-Saharan Africa,Low income
Nigeria,NGA,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,Latin America & Caribbean,Lower middle income
Netherlands,NLD,Europe & Central Asia,High income
Norway,NOR,Europe & Central Asia,High income
Nepal,NPL,South Asia,Lower middle income
Nauru,NRU,East Asia & Pacific,High income
New Zealand,NZL,East Asia & Pacific,High income
Oman,OMN,Middle East & North Africa,High income
Pakistan,PAK,South Asia,Lower middle income
Panama,PAN,Latin America & Caribbean,Upper middle income
Peru,PER,Latin America & Caribbean,Upper middle income
Philippines,PHL,East Asia & Pacific,Lower middle income
Palau,PLW,East Asia & Pacific,High income
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income
Poland,POL,Europe & Central Asia,High income
Puerto Rico,PRI,Latin America & Caribbean,High income
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income
Portugal,PRT,Europe & Central Asia,High income
Paraguay,PRY,Latin America & Caribbean,Upper middle income
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income
French Polynesia,PYF,East Asia & Pacific,High income
Qatar,QAT,Middle East & North Africa,High income
Romania,ROU,Europe & Central Asia,Upper middle income
Russian Federation,RUS,Europe & Central Asia,Upper middle income
Rwanda,RWA,Sub-Saharan Africa,Low income
Saudi Arabia,SAU,Middle East & North Africa,High income
Sudan,SDN,Sub-Saharan Africa,Low income
Senegal,SEN,Sub-Saharan Africa,Lower middle income
Singapore,SGP,East Asia & Pacific,High income
Solomon Islands,SLB,East Asia & Pacific,Lower middle income
Sierra Leone,SLE,Sub-Saharan Africa,Low income
El Salvador,SLV,Latin America & Caribbean,Lower middle income
San Marino,SMR,Europe & Central Asia,High income
Somalia,SOM,Sub-Saharan Africa,Low income
Serbia,SRB,Europe & Central Asia,Upper middle income
South Sudan,SSD,Sub-Saharan Africa,Low income
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income
Suriname,SUR,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,Europe & Central Asia,High income
Slovenia,SVN,Europe & Central Asia,High income
Sweden,SWE,Europe & Central Asia,High income
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income
Seychelles,SYC,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,Middle East & North Africa,Low income
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income
Chad,TCD,Sub-Saharan Africa,Low income
Togo,TGO,Sub-Saharan Africa,Low income
Thailand,THA,East Asia & Pacific,Upper middle income
Tajikistan,TJK,Europe & Central Asia,Lower middle income
Turkmenistan,TKM,Europe & Central Asia,Upper middle income
Timor-Leste,TLS,East Asia & Pacific,Lower middle income
Tonga,TON,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,Latin America & Caribbean,High income
Tunisia,TUN,Middle East & North Africa,Lower middle income
Turkey,TUR,Europe & Central Asia,Upper middle income
Tuvalu,TUV,East Asia & Pacific,Upper middle income
"Taiwan, China",TWN,East Asia & Pacific,High income
Tanzania,TZA,Sub-Saharan Africa,Lower middle income
Uganda,UGA,Sub-Saharan Africa,Low income
Ukraine,UKR,Europe & Central Asia,Lower middle income
Uruguay,URY,Latin America & Caribbean,High income
United States,USA,North America,High income
Uzbekistan,UZB,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,Latin America & Caribbean,
British Virgin Islands,VGB,Latin America & Caribbean,High income
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income
Vietnam,VNM,East Asia & Pacific,Lower middle income
Vanuatu,VUT,East Asia & Pacific,Lower middle income
Samoa,WSM,East Asia & Pacific,Lower middle income
Kosovo,XKX,Europe & Central Asia,Upper middle income
"Yemen, Rep.",YEM,Middle East & North Africa,Low income
South Africa,ZAF,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income
